Date;Number of flights
17 mars 2021;1 068
18 mars 2021;1 070
19 mars 2021;1 209
20 mars 2021;799
21 mars 2021;927
22 mars 2021;985
23 mars 2021;910
24 mars 2021;980
25 mars 2021;1 116
26 mars 2021;1 282
27 mars 2021;848
28 mars 2021;980
29 mars 2021;1 081
30 mars 2021;977
31 mars 2021;1 193
1 avr 2021;1 324
2 avr 2021;1 177
3 avr 2021;834
4 avr 2021;891
5 avr 2021;926
6 avr 2021;953
7 avr 2021;1 179
8 avr 2021;1 207
9 avr 2021;1 274
10 avr 2021;948
11 avr 2021;1 071
12 avr 2021;1 160
13 avr 2021;1 076
14 avr 2021;1 145
15 avr 2021;1 216
16 avr 2021;1 287
17 avr 2021;871
18 avr 2021;1 134
19 avr 2021;1 175
20 avr 2021;1 041
21 avr 2021;1 124
22 avr 2021;1 196
23 avr 2021;1 287
24 avr 2021;873
25 avr 2021;982
26 avr 2021;1 152
27 avr 2021;1 058
28 avr 2021;1 132
29 avr 2021;1 249
30 avr 2021;1 395
1 mai 2021;958
2 mai 2021;1 032
3 mai 2021;1 113
4 mai 2021;1 094
5 mai 2021;1 162
6 mai 2021;1 229
7 mai 2021;1 422
8 mai 2021;851
9 mai 2021;1 122
10 mai 2021;1 300
11 mai 2021;1 105
12 mai 2021;1 166
13 mai 2021;1 274
14 mai 2021;1 355
15 mai 2021;899
16 mai 2021;1 080
17 mai 2021;1 493
18 mai 2021;1 252
19 mai 2021;1 391
20 mai 2021;1 496
21 mai 2021;1 692
22 mai 2021;1 241
23 mai 2021;1 430
24 mai 2021;1 600
25 mai 2021;1 347
26 mai 2021;1 521
27 mai 2021;1 748
28 mai 2021;2 236
29 mai 2021;1 771
30 mai 2021;1 706
31 mai 2021;1 518
1 juin 2021;1 845
2 juin 2021;1 818
3 juin 2021;1 930
4 juin 2021;2 252
5 juin 2021;1 942
6 juin 2021;2 132
7 juin 2021;2 024
8 juin 2021;1 666
9 juin 2021;1 776
10 juin 2021;1 833
11 juin 2021;2 124
12 juin 2021;1 593
13 juin 2021;1 828
14 juin 2021;1 911
15 juin 2021;1 703
16 juin 2021;1 855
17 juin 2021;2 030
18 juin 2021;2 217
19 juin 2021;1 735
20 juin 2021;1 993
21 juin 2021;1 955
22 juin 2021;1 815
23 juin 2021;1 868
24 juin 2021;2 012
25 juin 2021;2 287
26 juin 2021;1 857
27 juin 2021;1 999
28 juin 2021;2 095
29 juin 2021;1 837
30 juin 2021;2 006
1 juil 2021;2 240
2 juil 2021;2 483
3 juil 2021;2 080
4 juil 2021;2 139
5 juil 2021;2 301
6 juil 2021;2 040
7 juil 2021;2 140
8 juil 2021;2 336
9 juil 2021;2 691
10 juil 2021;2 346
11 juil 2021;2 292
12 juil 2021;2 453
13 juil 2021;2 140
14 juil 2021;2 143
15 juil 2021;2 313
16 juil 2021;2 895
17 juil 2021;2 639
18 juil 2021;2 611
19 juil 2021;2 889
20 juil 2021;2 623
21 juil 2021;2 592
22 juil 2021;2 857
23 juil 2021;3 306
24 juil 2021;2 939
25 juil 2021;2 936
26 juil 2021;2 923
27 juil 2021;2 623
28 juil 2021;2 696
29 juil 2021;2 832
30 juil 2021;3 271
31 juil 2021;3 056
1 août 2021;3 104
2 août 2021;3 181
3 août 2021;2 935
4 août 2021;2 952
5 août 2021;3 048
6 août 2021;3 332
7 août 2021;3 135
8 août 2021;3 192
9 août 2021;3 118
10 août 2021;2 896
11 août 2021;3 019
12 août 2021;3 115
13 août 2021;3 422
14 août 2021;3 224
15 août 2021;3 197
16 août 2021;3 284
17 août 2021;2 967
18 août 2021;3 114
19 août 2021;3 204
20 août 2021;3 602
21 août 2021;3 230
22 août 2021;3 392
23 août 2021;3 404
24 août 2021;3 112
25 août 2021;3 299
26 août 2021;3 369
27 août 2021;3 687
28 août 2021;3 417
29 août 2021;3 547
30 août 2021;3 569
31 août 2021;3 395
1 sept 2021;3 477
2 sept 2021;3 556
3 sept 2021;3 858
4 sept 2021;3 462
5 sept 2021;3 805
6 sept 2021;3 706
7 sept 2021;3 299
8 sept 2021;3 373
9 sept 2021;3 594
10 sept 2021;3 934
11 sept 2021;3 426
12 sept 2021;3 721
13 sept 2021;3 768
14 sept 2021;3 244
15 sept 2021;3 461
16 sept 2021;3 551
17 sept 2021;3 992
18 sept 2021;3 371
19 sept 2021;3 766
20 sept 2021;3 749
21 sept 2021;3 308
22 sept 2021;3 404
23 sept 2021;3 687
24 sept 2021;3 977
25 sept 2021;3 409
26 sept 2021;3 726
27 sept 2021;3 716
28 sept 2021;3 192
29 sept 2021;3 394
30 sept 2021;3 534
1 oct 2021;4 061
2 oct 2021;3 290
3 oct 2021;3 748
4 oct 2021;3 779
5 oct 2021;3 201
6 oct 2021;3 364
7 oct 2021;3 570
8 oct 2021;4 083
9 oct 2021;3 279
10 oct 2021;3 662
11 oct 2021;3 736
12 oct 2021;3 276
13 oct 2021;3 379
14 oct 2021;3 630
15 oct 2021;4 115
16 oct 2021;3 495
17 oct 2021;3 744
18 oct 2021;3 715
19 oct 2021;3 216
20 oct 2021;3 382
21 oct 2021;3 685
22 oct 2021;4 251
23 oct 2021;3 530
24 oct 2021;3 799
25 oct 2021;3 738
26 oct 2021;3 218
27 oct 2021;3 449
28 oct 2021;3 590
29 oct 2021;4 106
30 oct 2021;3 561
31 oct 2021;4 001
1 nov 2021;3 823
2 nov 2021;3 273
3 nov 2021;3 295
4 nov 2021;3 515
5 nov 2021;3 861
6 nov 2021;2 952
7 nov 2021;3 484
8 nov 2021;3 524
9 nov 2021;3 079
10 nov 2021;3 097
11 nov 2021;3 376
12 nov 2021;3 744
13 nov 2021;2 755
14 nov 2021;3 414
15 nov 2021;3 517
16 nov 2021;3 084
17 nov 2021;3 072
18 nov 2021;3 306
19 nov 2021;3 768
20 nov 2021;2 803
21 nov 2021;3 323
22 nov 2021;3 475
23 nov 2021;3 022
24 nov 2021;3 051
25 nov 2021;3 409
26 nov 2021;3 546
27 nov 2021;2 604
28 nov 2021;3 259
29 nov 2021;3 555
30 nov 2021;2 953
1 déc 2021;3 025
2 déc 2021;3 367
3 déc 2021;3 622
4 déc 2021;2 812
5 déc 2021;3 291
6 déc 2021;3 477
7 déc 2021;2 765
8 déc 2021;3 051
9 déc 2021;3 348
10 déc 2021;3 888
11 déc 2021;3 067
12 déc 2021;3 512
13 déc 2021;3 655
14 déc 2021;3 291
15 déc 2021;3 504
16 déc 2021;3 848
17 déc 2021;4 446
18 déc 2021;3 467
19 déc 2021;3 709
20 déc 2021;4 021
21 déc 2021;3 581
22 déc 2021;3 667
23 déc 2021;3 767
24 déc 2021;2 849
25 déc 2021;934
26 déc 2021;3 135
27 déc 2021;3 568
28 déc 2021;3 238
29 déc 2021;3 224
30 déc 2021;3 358
31 déc 2021;2 904
1 janv 2022;2 501
2 janv 2022;3 685
3 janv 2022;3 745
4 janv 2022;3 313
5 janv 2022;3 166
6 janv 2022;3 113
7 janv 2022;3 483
8 janv 2022;3 016
9 janv 2022;3 465
10 janv 2022;2 588
11 janv 2022;2 187
12 janv 2022;2 153
13 janv 2022;2 427
14 janv 2022;2 752
15 janv 2022;2 312
16 janv 2022;2 681
17 janv 2022;2 410
18 janv 2022;2 037
19 janv 2022;2 084
20 janv 2022;2 408
21 janv 2022;2 801
22 janv 2022;2 361
23 janv 2022;2 697
24 janv 2022;2 397
25 janv 2022;2 040
26 janv 2022;2 093
27 janv 2022;2 413
28 janv 2022;2 769
29 janv 2022;2 261
30 janv 2022;2 670
31 janv 2022;2 429
1 févr 2022;2 434
2 févr 2022;2 580
3 févr 2022;2 848
4 févr 2022;3 238
5 févr 2022;2 762
6 févr 2022;3 214
7 févr 2022;3 037
8 févr 2022;2 638
9 févr 2022;2 668
10 févr 2022;3 325
11 févr 2022;3 989
12 févr 2022;3 602
13 févr 2022;3 537
14 févr 2022;3 422
15 févr 2022;2 960
16 févr 2022;2 879
17 févr 2022;3 389
18 févr 2022;2 902
19 févr 2022;3 819
20 févr 2022;3 743
21 févr 2022;3 383
22 févr 2022;3 083
23 févr 2022;3 066
24 févr 2022;3 421
25 févr 2022;3 863
26 févr 2022;3 202
27 févr 2022;3 754
28 févr 2022;3 659
1 mars 2022;3 243
2 mars 2022;3 338
3 mars 2022;3 641
4 mars 2022;4 074
5 mars 2022;3 437
6 mars 2022;3 805
7 mars 2022;3 793
8 mars 2022;3 400
9 mars 2022;3 367
10 mars 2022;3 807
11 mars 2022;4 111
12 mars 2022;3 453
13 mars 2022;3 921
14 mars 2022;3 883
15 mars 2022;3 516
16 mars 2022;3 501
17 mars 2022;3 842
18 mars 2022;4 239
19 mars 2022;3 550
20 mars 2022;3 913
21 mars 2022;3 908
22 mars 2022;3 473
23 mars 2022;3 553
24 mars 2022;3 813
25 mars 2022;4 227
26 mars 2022;3 573
27 mars 2022;4 390
28 mars 2022;4 748
29 mars 2022;4 578
30 mars 2022;4 397
31 mars 2022;4 616
1 avr 2022;4 916
2 avr 2022;4 337
3 avr 2022;4 524
4 avr 2022;4 835
5 avr 2022;4 582
6 avr 2022;4 761
7 avr 2022;4 874
8 avr 2022;5 095
9 avr 2022;4 518
10 avr 2022;4 718
11 avr 2022;4 956
12 avr 2022;4 791
13 avr 2022;4 752
14 avr 2022;5 042
15 avr 2022;4 895
